ticker,price,change_pct,high_52w,low_52w,volume
AAPL,189.30,0.84,199.62,164.08,"58,432,100"
MSFT,415.50,1.12,468.35,362.90,"22,108,400"
GOOGL,175.80,-0.43,193.31,130.67,"18,754,200"
AMZN,192.45,2.01,201.20,151.61,"35,621,800"
TSLA,175.22,-1.55,271.00,138.80,"112,345,600"
NVDA,875.40,3.24,974.00,462.41,"45,123,900"
META,505.60,0.97,590.93,394.78,"16,908,300"
JPM,198.75,0.45,220.82,162.05,"9,342,100"
SPY,520.30,0.61,565.16,450.78,"78,234,500"
QQQ,445.20,0.88,503.52,350.25,"42,109,700"
BTC-USD,68500.00,2.15,73750.00,38505.00,"32,456,000,000"
ETH-USD,3520.00,1.88,4093.00,1596.00,"18,234,000,000"
SOL-USD,175.50,3.42,259.96,60.04,"4,123,000,000"
BNB-USD,580.00,-0.72,793.35,203.58,"1,876,000,000"
XRP-USD,0.59,-1.10,0.92,0.45,"2,345,000,000"
